,commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate
0,801,2010,69360,1063554,423242,118384,103276,1486796,0,0,1,1998-12-17T00:00:00
1,801,2010,26574,1090128,544827,148961,148159,1634955,0,0,1,1998-12-24T00:00:00
2,801,2010,73595,1163723,477871,10592,6639,1641594,0,0,1,1998-12-31T00:00:00
3,801,2010,28437,1192160,456530,7307,7096,1648690,0,0,1,1999-01-07T00:00:00
4,801,2010,125707,1317867,389382,64896,58559,1707249,0,0,1,1999-01-14T00:00:00
5,801,2010,39285,1357152,376197,33514,26100,1733349,0,0,1,1999-01-21T00:00:00
6,801,2010,10616,1367768,435227,69853,69646,1802995,0,0,1,1999-01-28T00:00:00
7,801,2010,36406,1404174,429529,31255,30708,1833703,0,0,1,1999-02-04T00:00:00
8,801,2010,40849,1445023,433948,46560,45268,1878971,0,0,1,1999-02-11T00:00:00
9,801,2010,107248,1552271,391594,66325,64894,1943865,0,0,1,1999-02-18T00:00:00
10,801,2010,60606,1612877,433801,103225,102813,2046678,0,0,1,1999-02-25T00:00:00
11,801,2010,45332,1658209,442554,55408,54085,2100763,0,0,1,1999-03-04T00:00:00
12,801,2010,59564,1717773,419537,36694,36547,2137310,0,0,1,1999-03-11T00:00:00
13,801,2010,111781,1829554,376029,77361,68273,2205583,0,0,1,1999-03-18T00:00:00
14,801,2010,84193,1913747,438528,148621,146692,2352275,0,0,1,1999-03-25T00:00:00
15,801,2010,54983,1968730,559620,178521,176075,2528350,0,0,1,1999-04-01T00:00:00
16,801,2010,70195,2038925,538245,39586,48820,2577170,0,0,1,1999-04-08T00:00:00
17,801,2010,79863,2118788,541271,85711,82889,2660059,0,0,1,1999-04-15T00:00:00
18,801,2010,57620,2176408,505720,25248,22069,2682128,0,0,1,1999-04-22T00:00:00
19,801,2010,103168,2279576,502898,110304,100346,2782474,0,0,1,1999-04-29T00:00:00
20,801,2010,30321,2309897,509008,36893,36431,2818905,40000,40000,1,1999-05-06T00:00:00
21,801,2010,85660,2395557,464769,51996,41421,2860326,45000,5000,1,1999-05-13T00:00:00
22,801,2010,100334,2495891,468740,106917,104305,2964631,45000,0,1,1999-05-20T00:00:00
23,801,2010,30846,2526737,518596,80708,80702,3045333,45000,0,1,1999-05-27T00:00:00
24,801,2010,43486,2570223,513287,50672,38177,3083510,45000,0,1,1999-06-03T00:00:00
25,801,2010,44162,2614385,469596,11534,471,3083981,45000,0,1,1999-06-10T00:00:00
26,801,2010,105388,2719773,398932,35123,34724,3118705,45000,0,1,1999-06-17T00:00:00
27,801,2010,34186,2753959,452023,87277,87277,3205982,45000,0,1,1999-06-24T00:00:00
28,801,2010,81980,2835939,434878,42880,64835,3270817,45000,0,1,1999-07-01T00:00:00
29,801,2010,60773,2896712,412046,38381,37941,3308758,45000,0,1,1999-07-08T00:00:00
30,801,2010,57243,2953955,375938,21217,21135,3329893,45000,0,1,1999-07-15T00:00:00
31,801,2010,46349,3000304,375000,45915,45411,3375304,50000,5000,1,1999-07-22T00:00:00
32,801,2010,76495,3076799,382001,83758,83496,3458800,80000,30000,1,1999-07-29T00:00:00
33,801,2010,83781,3160580,385952,104441,87732,3546532,100000,20000,1,1999-08-05T00:00:00
34,801,2010,87226,3247806,339452,40904,40726,3587258,106804,6804,1,1999-08-12T00:00:00
35,801,2010,116346,3364152,294334,61497,71228,3658486,107304,500,1,1999-08-19T00:00:00
36,801,2010,53782,3417934,258780,18652,18228,3676714,109234,1930,1,1999-08-26T00:00:00
37,801,2010,115649,3533583,157551,14815,14420,3691134,397185,139672,1,1999-09-02T00:00:00
0,801,2010,9272,9272,397185,297223,139672,406457,0,0,1,1999-09-02T00:00:00
1,801,2010,67706,76978,382487,55979,53008,459465,0,0,1,1999-09-09T00:00:00
2,801,2010,77414,154392,336546,21478,31473,490938,0,0,1,1999-09-16T00:00:00
3,801,2010,49165,203557,412477,121677,125096,616034,0,0,1,1999-09-23T00:00:00
4,801,2010,76182,279739,473933,137730,137638,753672,0,0,1,1999-09-30T00:00:00
5,801,2010,65561,345300,542694,134821,134322,887994,0,0,1,1999-10-07T00:00:00
6,801,2010,209643,554943,536270,214357,203219,1091213,0,0,1,1999-10-14T00:00:00
7,801,2010,98406,653349,532780,94946,94916,1186129,0,0,1,1999-10-21T00:00:00
8,801,2010,175378,828727,529368,172087,171966,1358095,0,0,1,1999-10-28T00:00:00
9,801,2010,18183,846910,529232,18350,18047,1376142,0,0,1,1999-11-04T00:00:00
10,801,2010,68152,915062,543041,82152,81961,1458103,0,0,1,1999-11-11T00:00:00
11,801,2010,78755,993817,582153,119040,117867,1575970,0,0,1,1999-11-18T00:00:00
12,801,2010,40812,1034629,547392,6750,6051,1582021,0,0,1,1999-11-25T00:00:00
13,801,2010,44619,1079248,567418,64687,64645,1646666,0,0,1,1999-12-02T00:00:00
14,801,2010,61692,1140940,575051,71575,69325,1715991,0,0,1,1999-12-09T00:00:00
15,801,2010,83958,1224898,600800,109958,109707,1825698,0,0,1,1999-12-16T00:00:00
16,801,2010,58893,1283791,602118,60769,60211,1885909,0,0,1,1999-12-23T00:00:00
17,801,2010,60509,1344300,678842,137958,137233,2023142,0,0,1,1999-12-30T00:00:00
18,801,2010,48648,1392948,669330,39406,39136,2062278,0,0,1,2000-01-06T00:00:00
19,801,2010,96203,1489151,595185,28250,22058,2084336,0,0,1,2000-01-13T00:00:00
20,801,2010,39308,1528459,602614,47677,46737,2131073,0,0,1,2000-01-20T00:00:00
21,801,2010,31400,1559859,630200,58990,58986,2190059,0,0,1,2000-01-27T00:00:00
22,801,2010,92918,1652777,753748,216688,216466,2406525,0,0,1,2000-02-03T00:00:00
23,801,2010,86227,1739004,685037,62840,17516,2424041,0,0,1,2000-02-10T00:00:00
24,801,2010,82871,1821875,651256,49548,49090,2473131,0,0,1,2000-02-17T00:00:00
25,801,2010,110740,1932615,543821,8299,3305,2476436,0,0,1,2000-02-24T00:00:00
26,801,2010,140139,2072754,511215,109188,107533,2583969,0,0,1,2000-03-02T00:00:00
27,801,2010,31235,2103989,520121,40337,40141,2624110,0,0,1,2000-03-09T00:00:00
28,801,2010,32950,2136939,505491,18410,18320,2642430,0,0,1,2000-03-16T00:00:00
29,801,2010,110984,2247923,424247,38121,29740,2672170,0,0,1,2000-03-23T00:00:00
30,801,2010,87487,2335410,393634,62589,56874,2729044,0,0,1,2000-03-30T00:00:00
31,801,2010,42597,2378007,417505,69563,66468,2795512,0,0,1,2000-04-06T00:00:00
32,801,2010,21860,2399867,416418,20934,20773,2816285,0,0,1,2000-04-13T00:00:00
33,801,2010,61504,2461371,367547,19623,12633,2828918,0,0,1,2000-04-20T00:00:00
34,801,2010,41831,2503202,503776,178613,178060,3006978,0,0,1,2000-04-27T00:00:00
35,801,2010,76514,2579716,474107,46873,46845,3053823,0,0,1,2000-05-04T00:00:00
36,801,2010,64956,2644672,474027,65189,64876,3118699,0,0,1,2000-05-11T00:00:00
37,801,2010,85851,2730523,463302,75482,75126,3193825,0,0,1,2000-05-18T00:00:00
38,801,2010,56751,2787274,479800,73529,73249,3267074,0,0,1,2000-05-25T00:00:00
39,801,2010,19639,2806913,461039,6889,878,3267952,0,0,1,2000-06-01T00:00:00
40,801,2010,40542,2847455,502979,82588,82482,3350434,0,0,1,2000-06-08T00:00:00
41,801,2010,85983,2933438,493791,77321,76795,3427229,76000,76000,1,2000-06-15T00:00:00
42,801,2010,75207,3008645,476048,62334,57464,3484693,95000,19000,1,2000-06-22T00:00:00
43,801,2010,71197,3079842,431561,28278,26710,3511403,95000,0,1,2000-06-29T00:00:00
44,801,2010,26470,3106312,422815,32148,17724,3529127,95000,0,1,2000-07-06T00:00:00
45,801,2010,108136,3214448,327724,14024,13045,3542172,155000,60000,1,2000-07-13T00:00:00
46,801,2010,92966,3307414,306537,73196,71779,3613951,194580,39580,1,2000-07-20T00:00:00
47,801,2010,127093,3434507,212399,33026,32955,3646906,241830,47250,1,2000-07-27T00:00:00
48,801,2010,53406,3487913,181316,22332,22323,3669229,267080,25250,1,2000-08-03T00:00:00
49,801,2010,18502,3506415,201406,44563,38592,3707821,316529,49449,1,2000-08-10T00:00:00
50,801,2010,72551,3578966,169761,42098,40906,3748727,324529,8000,1,2000-08-17T00:00:00
51,801,2010,26529,3605495,195564,52751,52332,3801059,348533,24004,1,2000-08-24T00:00:00
52,801,2010,71403,3676898,127819,4421,3658,3804717,643032,166680,1,2000-08-31T00:00:00
0,801,2010,44082,44082,632199,34270,33249,676281,0,0,1,2000-09-07T00:00:00
1,801,2010,43643,87725,762318,173949,173762,850043,0,0,1,2000-09-14T00:00:00
2,801,2010,32299,120024,859629,132038,129610,979653,0,0,1,2000-09-21T00:00:00
3,801,2010,110938,230962,834019,85608,85328,1064981,0,0,1,2000-09-28T00:00:00
4,801,2010,94628,325590,812524,89454,73133,1138114,0,0,1,2000-10-05T00:00:00
5,801,2010,105220,430810,861029,155874,153725,1291839,0,0,1,2000-10-12T00:00:00
6,801,2010,144912,575722,878415,164857,162298,1454137,0,0,1,2000-10-19T00:00:00
7,801,2010,142585,718307,903939,175352,168109,1622246,0,0,1,2000-10-26T00:00:00
8,801,2010,85978,804285,849455,31494,31494,1653740,0,0,1,2000-11-02T00:00:00
9,801,2010,47741,852026,996166,195942,194452,1848192,0,0,1,2000-11-09T00:00:00
10,801,2010,63717,915743,980037,47588,47588,1895780,0,0,1,2000-11-16T00:00:00
11,801,2010,64931,980674,932971,17999,17865,1913645,0,0,1,2000-11-23T00:00:00
12,801,2010,137707,1118381,1017796,229148,222532,2136177,0,0,1,2000-11-30T00:00:00
13,801,2010,29188,1147569,1030842,42340,42234,2178411,0,0,1,2000-12-07T00:00:00
14,801,2010,52217,1199786,1030372,59263,51747,2230158,0,0,1,2000-12-14T00:00:00
15,801,2010,63864,1263650,1140919,186346,174411,2404569,0,0,1,2000-12-21T00:00:00
16,801,2010,47492,1311142,1129641,40808,36214,2440783,0,0,1,2000-12-28T00:00:00
17,801,2010,107523,1418665,1035235,16615,13117,2453900,0,0,1,2001-01-04T00:00:00
18,801,2010,33585,1452250,1000717,23581,-933,2452967,0,0,1,2001-01-11T00:00:00
19,801,2010,57695,1509945,960767,18053,17745,2470712,0,0,1,2001-01-18T00:00:00
20,801,2010,83888,1593833,917087,41024,40208,2510920,0,0,1,2001-01-25T00:00:00
21,801,2010,65962,1659795,886071,35112,34946,2545866,0,0,1,2001-02-01T00:00:00
22,801,2010,112642,1772437,830118,58051,56689,2602555,0,0,1,2001-02-08T00:00:00
23,801,2010,19449,1791886,841201,30585,30532,2633087,0,0,1,2001-02-15T00:00:00
24,801,2010,61145,1853031,796292,17461,16236,2649323,0,0,1,2001-02-22T00:00:00
25,801,2010,46929,1899960,897539,154065,148176,2797499,0,0,1,2001-03-01T00:00:00
26,801,2010,34154,1934114,868686,10750,5301,2802800,0,0,1,2001-03-08T00:00:00
27,801,2010,59770,1993884,864474,55587,55558,2858358,0,0,1,2001-03-15T00:00:00
28,801,2010,143936,2137820,728078,73455,7540,2865898,0,0,1,2001-03-22T00:00:00
29,801,2010,122048,2259868,672272,96329,66242,2932140,20250,20250,1,2001-03-29T00:00:00
30,801,2010,94705,2354573,537657,80837,-39910,2892230,47250,27000,1,2001-04-05T00:00:00
31,801,2010,71432,2426005,562475,112224,96250,2988480,47250,0,1,2001-04-12T00:00:00
32,801,2010,52228,2478233,549461,76341,39214,3027694,72250,25000,1,2001-04-19T00:00:00
33,801,2010,18621,2496854,718491,188294,187651,3215345,72250,0,1,2001-04-26T00:00:00
34,801,2010,123711,2620565,624909,76884,30129,3245474,110250,38000,1,2001-05-03T00:00:00
35,801,2010,68868,2689433,649669,93854,93628,3339102,110250,0,1,2001-05-10T00:00:00
36,801,2010,61274,2750707,618306,49839,29911,3369013,148750,38500,1,2001-05-17T00:00:00
37,801,2010,75998,2826705,492416,40524,-49892,3319121,110750,-38000,1,2001-05-24T00:00:00
38,801,2010,47783,2874488,492076,62451,47443,3366564,110750,0,1,2001-05-31T00:00:00
39,801,2010,13770,2888258,490076,13741,11770,3378334,110750,0,1,2001-06-07T00:00:00
40,801,2010,71873,2960131,463543,46612,45340,3423674,110750,0,1,2001-06-14T00:00:00
41,801,2010,119582,3079713,452335,220104,108374,3532048,110750,0,1,2001-06-21T00:00:00
42,801,2010,70209,3149922,465088,83088,82962,3615010,110750,0,1,2001-06-28T00:00:00
43,801,2010,56661,3206583,478047,69620,69620,3684630,160750,50000,1,2001-07-05T00:00:00
44,801,2010,64856,3271439,433655,108757,20464,3705094,100750,-60000,1,2001-07-12T00:00:00
45,801,2010,64321,3335760,417094,47811,47760,3752854,125750,25000,1,2001-07-19T00:00:00
46,801,2010,80258,3416018,376740,42002,39904,3792758,169257,43507,1,2001-07-26T00:00:00
47,801,2010,68258,3484276,379921,71439,71439,3864197,176007,6750,1,2001-08-02T00:00:00
48,801,2010,56511,3540787,365362,42047,41952,3906149,263513,87506,1,2001-08-09T00:00:00
49,801,2010,147469,3688256,283862,67149,65969,3972118,256763,-6750,1,2001-08-16T00:00:00
50,801,2010,68743,3756999,237099,24536,21980,3994098,272480,15717,1,2001-08-23T00:00:00
51,801,2010,31982,3788981,191068,652,-14049,3980049,295466,22986,1,2001-08-30T00:00:00
52,801,2010,69426,3858407,118754,5996,-2888,3977161,457968,73157,1,2001-09-06T00:00:00
0,801,2010,29409,29409,457968,191911,73157,487377,0,0,1,2001-09-06T00:00:00
1,801,2010,36169,65578,428441,12131,6642,494019,0,0,1,2001-09-13T00:00:00
2,801,2010,10078,75656,454691,36328,36328,530347,0,0,1,2001-09-20T00:00:00
3,801,2010,105297,180953,555486,207143,206092,736439,0,0,1,2001-09-27T00:00:00
4,801,2010,33088,214041,621502,99104,99104,835543,0,0,1,2001-10-04T00:00:00
5,801,2010,149212,363253,677087,193173,204797,1040340,0,0,1,2001-10-11T00:00:00
6,801,2010,109778,473031,754217,189032,186908,1227248,0,0,1,2001-10-18T00:00:00
7,801,2010,110433,583464,761783,118761,117999,1345247,0,0,1,2001-10-25T00:00:00
8,801,2010,150998,734462,764192,154144,153407,1498654,0,0,1,2001-11-01T00:00:00
9,801,2010,149851,884313,777446,144105,163105,1661759,0,0,1,2001-11-08T00:00:00
10,801,2010,39094,923407,778538,40416,40186,1701945,0,0,1,2001-11-15T00:00:00
11,801,2010,50482,973889,782483,54739,54427,1756372,0,0,1,2001-11-22T00:00:00
12,801,2010,79569,1053458,939182,238638,236268,1992640,0,0,1,2001-11-29T00:00:00
13,801,2010,72514,1125972,967326,102703,100658,2093298,0,0,1,2001-12-06T00:00:00
14,801,2010,87877,1213849,925047,45888,45598,2138896,0,0,1,2001-12-13T00:00:00
15,801,2010,79752,1293601,869619,25324,24324,2163220,0,0,1,2001-12-20T00:00:00
16,801,2010,93480,1387081,840237,64368,64098,2227318,0,0,1,2001-12-27T00:00:00
17,801,2010,54006,1441087,829913,68878,43682,2271000,0,0,1,2002-01-03T00:00:00
18,801,2010,135997,1577084,782773,91091,88857,2359857,0,0,1,2002-01-10T00:00:00
19,801,2010,120396,1697480,767823,105446,105446,2465303,0,0,1,2002-01-17T00:00:00
